trilha_nome,curso_nome,curso_link,modulo_id,modulo_nome,aula_id,aula_nome,aula_slug,aula_link,aula_concluida,aula_sumario,aula_conteudo_html
Workshop com convidado,"Como sair do ZERO com DATAOPS e fazer seu DEPLOY - Git, Cloud, AWS, Docker e Terraform",https://jornadadedados.alpaclass.com/c/cursos/NxNuZC?from=contents,156013,"Como sair do ZERO com DATAOPS e fazer seu DEPLOY - Git, Cloud, AWS, Docker e Terraform",831958,Conteúdo,u3VtFE,https://jornadadedados.alpaclass.com/c/cursos/NxNuZC?lessonSlug=u3VtFE,False,"Nesta aula, você aprenderá o ciclo de vida completo de um deploy utilizando as práticas e ferramentas essenciais do DataOps. Vamos começar do zero, abordando desde a organização do código-fonte com Git, até o deploy final em uma infraestrutura na nuvem utilizando AWS, Docker, e Terraform. Ao final da aula, você terá um entendimento claro de como configurar, gerenciar e automatizar todo o processo de deploy em um ambiente de produção.

Repositório do projeto https://github.com/lvgalvao/dashboard_aovivo_streamlit","<!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.0 Transitional//EN"" ""http://www.w3.org/TR/REC-html40/loose.dtd"">
<html><body><p>Reposit&oacute;rio do projeto <a href=""https://github.com/lvgalvao/dashboard_aovivo_streamlit"">https://github.com/lvgalvao/da...</a></p></body></html>
"
Workshop com convidado,Como sair do ZERO com SQL na AWS - ETL Parquet S3 Athena e Glue,https://jornadadedados.alpaclass.com/c/cursos/XuLHoz?from=contents,156021,Como sair do ZERO com SQL na AWS - ETL Parquet S3 Athena e Glue,831979,Conteúdo,8G0gLl,https://jornadadedados.alpaclass.com/c/cursos/XuLHoz?lessonSlug=8G0gLl,False,"Quer aprender a trabalhar com SQL na AWS do zero e construir um pipeline de dados completo? Neste vídeo, vou te guiar passo a passo na criação de uma ETL utilizando as principais ferramentas da AWS, como S3, Athena, Glue e Parquet. Se você está começando ou quer aprofundar seus conhecimentos em SQL na nuvem, este tutorial é perfeito para você. Vamos abordar desde a configuração inicial até a execução de queries em grandes volumes de dados, passando por todas as etapas necessárias para dominar essas tecnologias. Prepare-se para turbinar sua carreira em dados!

Exemplos de datasets: https://www.kaggle.com/datasets",
Workshop com convidado,Crie pipelines CI/CD com dbt e github actions | Participação Bruno Souza,https://jornadadedados.alpaclass.com/c/cursos/74UF0Q?from=contents,135998,Workshop,718242,Crie pipelines CI/CD com dbt e github actions | Participação Bruno Souza,GTu60O,https://jornadadedados.alpaclass.com/c/cursos/74UF0Q?lessonSlug=GTu60O,False,,
Workshop com convidado,Orquestrando pipelines  com dbt-core e Airflow | Participação Bruno Souza,https://jornadadedados.alpaclass.com/c/cursos/7hy9CN?from=contents,135999,Workshop,718244,Orquestrando pipelines com dbt-core e Airflow | Participação Bruno Souza,HRe82V,https://jornadadedados.alpaclass.com/c/cursos/7hy9CN?lessonSlug=HRe82V,False,,
Quem sabe faz ao vivo!,"Construindo um Pipeline ETL em Tempo Real com Kafka, PostgreSQL e Streamlit",https://jornadadedados.alpaclass.com/c/cursos/8MNo5R?from=contents,156010,"Construindo um Pipeline ETL em Tempo Real com Kafka, PostgreSQL e Streamlit",831955,Conteúdo,Vdywi4,https://jornadadedados.alpaclass.com/c/cursos/8MNo5R?lessonSlug=Vdywi4,False,"Neste vídeo, você vai acompanhar a criação de um pipeline ETL em tempo real, desde a geração de dados até a visualização em um dashboard interativo.

Tecnologias e Bibliotecas Utilizadas
Infraestrutura
AWS S3: Armazenamento de arquivos de dados de vendas, atuando como a fonte de dados para ETL.
PostgreSQL: Armazenamento de dados transformados, permitindo a recuperação de dados em tempo real.
Docker: Containerização de serviços para fácil implantação e gerenciamento.
Kafka: Sistema de enfileiramento de mensagens para monitoramento e disparo de processos ETL.

Ferramentas de Desenvolvimento e Análise
DBeaver: Gerenciamento e consulta de banco de dados.

Principais Bibliotecas Python
pandas: Manipulação e transformação de dados.
boto3: SDK da AWS para Python, usado para interagir com o S3.
Faker: Simulação de dados de vendas.
pydantic: Validação de dados, garantindo a qualidade dos dados em cada etapa do pipeline.
sqlalchemy: ORM para inserção de dados no PostgreSQL.
streamlit: Dashboard de KPI em tempo real.
confluent_kafka: Interface para Kafka, gerenciando a execução de ETL baseada em eventos.



https://github.com/caio-moliveira/sales-pipeline-project",
Quem sabe faz ao vivo!,"Como criar do ZERO um Lakehouse com Data Mesh | AWS, duckdb, Taipy, dbt-core",https://jornadadedados.alpaclass.com/c/cursos/rOyyWx?from=contents,156011,"Como criar do ZERO um Lakehouse com Data Mesh | AWS, duckdb, Taipy, dbt-core",831956,Conteúdo,7y1OI5,https://jornadadedados.alpaclass.com/c/cursos/rOyyWx?lessonSlug=7y1OI5,False,"O que você vai aprender:

1) Criar um Data Lakehouse na AWS RDS com arquitetura medalhão (bronze, silver, gold).
2) Processar grandes volumes de dados (1 milhão de registros) utilizando o DuckDB como intermediário.
3) Implementar transformações de dados eficientes com o dbt-core.
4) Desenvolver um dashboard interativo com o Taipy para visualização e análise dos dados.
5) Simular um sistema de CRM, recebendo diariamente arquivos com dados de clientes e pedidos.

Tecnologias que serão abordadas:

Python
SQL
AWS RDS
DuckDB
dbt-core",
Quem sabe faz ao vivo!,"Plataforma com Big Query do Zero usando Python, Airflow, dbt, soda e docker | Participação Alan Lanceloth",https://jornadadedados.alpaclass.com/c/cursos/K13sFM?from=contents,136002,Workshop,718257,"Plataforma com Big Query do Zero usando Python, Airflow, dbt, soda e docker | Participação Alan Lanceloth",FmVSBJ,https://jornadadedados.alpaclass.com/c/cursos/K13sFM?lessonSlug=FmVSBJ,False,,
Quem sabe faz ao vivo!,Qualidade de dados em ETL com Pandera e Python: Um Guia para Contrato de Dados | Participação Renan Heckert,https://jornadadedados.alpaclass.com/c/cursos/QfNFbr?from=contents,136001,Workshop,718250,Qualidade de dados em ETL com Pandera e Python: Um Guia para Contrato de Dados | Renan Heckert,uzd37O,https://jornadadedados.alpaclass.com/c/cursos/QfNFbr?lessonSlug=uzd37O,False,,
WSL,Monitoria WSL,https://jornadadedados.alpaclass.com/c/cursos/44bI5W?from=contents,144197,Aula,769630,Conteúdo,ttN75e,https://jornadadedados.alpaclass.com/c/cursos/44bI5W?lessonSlug=ttN75e,False,,
WSL,Monitoria WSL,https://jornadadedados.alpaclass.com/c/cursos/44bI5W?from=contents,149751,Monitoria 16/10,802327,Conteúdo,PxxFFJ,https://jornadadedados.alpaclass.com/c/cursos/44bI5W?lessonSlug=PxxFFJ,False,,
